Damage over distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reload times (s),,,,,,
Distance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,∞,,Full,Tactical,,Rate of Fire,,ADS Time (s),With Shield
P90,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,20,20,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,,2.9,2.4,,970,,0.3,
Vector,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,21,20,20,19,19,18,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,2.8,2,,1200,,0.3,
Luison,65,65,65,65,65,65,65,65,65,65,65,63,61,59,56,54,52,50,48,46,43,41,39,37,35,33,30,28,26,24,22,19,17,15,13,13,13,13,13,13,13,13,,2.6,1.9,,450,,0.2,
Keratos .357,78,78,78,78,78,78,78,78,78,78,78,77,76,74,73,72,71,70,69,67,66,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,4,4,,450,,0.2,
LFP586,78,78,78,78,78,78,78,78,78,78,78,74,70,66,62,58,54,50,46,42,38,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,4,4,,450,,0.2,0.6
.44 Mag,54,54,54,54,54,54,54,54,54,54,54,53,53,52,52,51,51,50,50,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,2.1,1.8,,450,,0.2,
D-50,71,71,71,71,71,71,71,71,71,71,71,68,64,61,58,55,51,48,45,42,38,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,,2.5,2,,450,,0.2,
PMM,61,61,61,61,61,61,61,61,61,61,61,58,55,52,49,46,44,41,38,35,32,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,,1.9,1.4,,450,,0.2,0.6
Q-929,60,60,60,60,60,60,60,60,60,60,60,57,55,52,49,46,44,41,38,35,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,2.1,1.8,,450,,0.2,
M45,58,58,58,58,58,58,58,58,58,58,58,56,53,51,49,47,44,42,40,38,35,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,,1.9,1.6,,450,,0.2,
1911 TACOPS,55,55,55,55,55,55,55,55,55,55,55,54,54,53,52,52,51,51,50,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,2.2,1.9,,450,,0.2,
P229,51,51,51,51,51,51,51,51,51,51,51,49,47,45,43,41,38,36,34,32,30,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,2.1,1.8,,450,,0.2,
P226,50,50,50,50,50,50,50,50,50,50,50,48,46,45,43,41,39,37,35,34,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,2.1,1.8,,450,,0.2,
USP40,48,48,48,48,48,48,48,48,48,48,48,46,44,42,40,38,35,33,31,29,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,2.1,1.8,,450,,0.2,
Mk1 9mm,48,48,48,48,48,48,48,48,48,48,48,46,44,42,40,38,37,35,33,31,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,1.9,1.6,,450,,0.2,
SDP 9mm,47,47,47,47,47,47,47,47,47,47,47,45,43,41,39,37,35,33,31,29,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,2.2,1.4,,450,,0.2,
P9,45,45,45,45,45,45,45,45,45,45,45,43,42,40,38,37,35,34,32,30,29,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,,2.1,1.8,,450,,0.2,0.6
P12,44,44,44,44,44,44,44,44,44,44,44,42,40,39,37,35,33,31,29,28,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,2.4,1.9,,450,,0.2,0.6
GSH-18,44,44,44,44,44,44,44,44,44,44,44,42,40,39,37,35,33,31,29,28,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,,2.3,2.1,,450,,0.2,0.6
PRB92,42,42,42,42,42,42,42,42,42,42,42,40,39,37,36,34,33,31,30,28,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,2.6,1.9,,450,,0.2,
5.7 USG,42,42,42,42,42,42,42,42,42,42,42,40,39,37,36,34,33,31,30,28,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,2.4,1.9,,450,,0.2,
P-10C,40,40,40,40,40,40,40,40,40,40,40,39,37,36,35,33,32,30,29,28,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,2.2,1.9,,450,,0.2,
RG15,38,38,38,38,38,38,38,38,38,38,38,37,35,34,32,31,29,28,26,25,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,,2.4,1.9,,450,,0.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Per Second [DPS],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reload times (s),,,,,,
Distance,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,∞,,Full,Tactical,,Rate of Fire,,ADS Time (s),With Shield
CSRX 300,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,79,78,77,75,74,72,71,69,68,66,65,65,65,65,65,65,65,65,,3.1,2.5,,50,,0.5,
BOSG 12.2,938,938,938,938,938,938,938,938,938,938,900,863,825,788,750,713,675,638,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,,3,2.4,,450,,0.4,
TCSG12,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,315,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,203,,3.2,2.5,,450,,0.4,
ACS12,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,277,259,241,223,205,199,193,188,182,176,170,165,159,153,147,142,136,130,130,130,130,130,130,130,130,,2.7,2,,300,,0.4,
OTs-03,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,445,440,435,431,426,421,416,412,407,402,397,393,388,383,378,374,374,374,,3.4,2.7,,380,,0.4,
SR-25,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458,445,433,421,409,397,384,372,360,348,336,323,311,299,287,275,263,263,263,,3.5,2.9,,450,,0.4,0.55
CAMRS,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,503,488,474,459,445,430,416,401,387,372,358,343,329,314,300,285,285,285,,3.4,2.6,,450,,0.4,
417,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,506,495,484,473,461,450,439,428,416,405,394,383,371,360,349,338,338,338,,3.3,2.6,,450,,0.4,
AR-15.50,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,459,454,448,443,437,431,426,420,414,409,403,398,392,386,381,375,375,375,,3.1,2.2,,450,,0.4,
MK 14 EBR,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,444,438,432,425,419,413,407,401,395,389,383,383,383,383,383,383,383,383,,3.4,3.1,,450,,0.4,
DP27,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,439,430,420,410,400,391,381,371,362,352,342,332,323,313,303,293,293,293,,4.6,4,,550,,0.45,
M249,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,509,498,488,477,466,455,444,433,423,412,401,390,379,368,358,347,347,347,,7.6,7.6,,650,,0.45,
M249 SAW,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,509,498,488,477,466,455,444,433,423,412,401,390,379,368,358,347,347,347,,4.5,3.3,,650,,0.45,
6P41,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,511,500,489,479,468,458,447,436,426,415,404,394,383,373,362,351,351,351,,8.5,8.5,,680,,0.45,
T-95 LSW,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,488,478,468,458,448,437,427,417,407,397,387,376,366,356,346,336,336,336,,3,2,,650,,0.45,
LMG-E,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,481,470,458,447,436,425,413,402,391,380,368,357,346,335,323,312,312,312,,6.5,7.1,,720,,0.45,
G8A1,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,516,508,500,492,484,476,468,460,452,444,437,429,421,413,405,397,397,397,,3.9,3,,850,,0.45,
ALDA 5.56,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,515,504,494,484,473,463,453,443,432,422,412,401,391,381,370,360,360,360,,5.7,6.2,,900,,0.45,
PARA-308,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,501,483,464,445,426,408,389,370,352,333,314,314,314,314,314,314,314,314,,3.3,2.6,,650,,0.4,
552 Com,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,531,510,489,468,447,427,406,385,364,343,322,322,322,322,322,322,322,322,,3.1,2.4,,690,,0.4,
ARX200,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,528,508,488,468,448,427,407,387,367,347,327,327,327,327,327,327,327,327,,3.4,2.6,,700,,0.4,
556xi,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,541,518,495,472,449,426,403,380,357,334,311,288,288,288,288,288,288,288,288,,3.7,2.6,,690,,0.4,
L85A2,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,525,507,488,470,452,433,415,397,379,360,342,324,324,324,324,324,324,324,324,,3.3,2.7,,670,,0.4,
C7E,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,613,585,558,530,502,474,446,418,390,362,335,307,307,307,307,307,307,307,307,,2.7,2,,800,,0.4,
M762,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548,523,499,475,450,426,402,377,353,329,304,280,280,280,280,280,280,280,280,,3.3,2.6,,730,,0.4,
AK-12,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,609,581,553,524,496,468,439,411,383,354,326,326,326,326,326,326,326,326,,3.4,2.6,,850,,0.4,
SC3000K,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,581,561,542,522,503,484,464,445,425,406,387,387,387,387,387,387,387,387,,3.4,2.6,,800,,0.4,
M4,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,531,511,492,473,453,434,415,395,376,357,337,337,337,337,337,337,337,337,,3.4,2.6,,750,,0.4,
V308,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,496,479,462,445,428,412,395,378,361,344,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,,3.3,2.6,,700,,0.4,
AK-74M,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,459,441,423,406,388,370,353,335,317,299,282,282,282,282,282,282,282,282,,3.4,2.6,,650,,0.4,
416-C,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,446,424,401,379,357,334,312,289,267,244,222,222,222,222,222,222,222,222,,3.4,2.4,,740,,0.4,
MK17 CQB,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,464,449,435,421,407,393,378,364,350,336,322,322,322,322,322,322,322,322,,3.1,2.4,,585,,0.4,0.55
AUG A2,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,487,469,452,434,417,399,382,364,347,329,312,312,312,312,312,312,312,312,,3.3,2.6,,720,,0.4,
AR33,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,512,493,473,454,435,415,396,377,357,338,319,300,300,300,300,300,300,300,300,,3.3,2.6,,749,,0.4,
Spear .308,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,473,456,439,422,405,388,371,354,337,320,303,303,303,303,303,303,303,303,,3.3,2.4,,700,,0.4,
TYPE-89,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,567,547,528,509,489,470,451,431,412,393,373,354,354,354,354,354,354,354,354,,3.3,2.6,,850,,0.4,
C8-SFW,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,558,538,517,497,477,457,436,416,396,375,355,335,335,335,335,335,335,335,335,,2.9,2.4,,837,,0.4,
